grade,direction_value,surface_value,cond_range,race_distance,race_type,median_winner_time,upper_quartile_winner_time,lower_quartile_winner_time,median_top3_time,upper_quartile_top3_time,lower_quartile_top3_time
A,LeftTurning,Dirt,0.0,4,Allowance,46.774695340552405,46.90089794751371,46.60449856865664,46.89619091665186,47.020729483034586,46.7827673617386
A,LeftTurning,Dirt,0.0,4,Claiming,47.08361655586665,47.150685757741186,46.94086199609308,47.367618805242586,47.47104558568878,47.32651385394689
A,LeftTurning,Dirt,0.0,4,RestrictedStakes,46.66869015302157,46.842404468021535,46.40068977530356,47.014019823573534,47.08551320629082,46.836907334970704
A,LeftTurning,Dirt,0.0,5,Allowance,60.796978862459895,60.958189625751444,60.63212788563097,60.952921752012884,61.38127545079474,60.91623860756408
A,LeftTurning,Dirt,0.0,5,Claiming,61.40343560190908,61.50870523125534,61.09438090827398,61.635165642859675,61.7918775458381,61.47988545540953
A,LeftTurning,Dirt,0.0,5,RestrictedStakes,60.74788484679457,60.87244950888507,60.616322965129086,61.1084945448315,61.34212743987008,60.922563850148634
A,LeftTurning,Dirt,0.0,6,Allowance,71.33200778104725,71.50545161559626,71.26822376748146,71.64307480787407,71.77128199272775,71.46938661226532
A,LeftTurning,Dirt,0.0,6,Claiming,71.94971163317571,72.16734558545203,71.7839700483662,72.4271882214323,72.57614737731654,72.37161497981371
A,LeftTurning,Dirt,0.0,6,RestrictedStakes,71.37526410476772,71.40290294692099,71.26544921849758,71.56789869051177,71.72602519853909,71.41523830870752
A,LeftTurning,Dirt,0.0,7,Allowance,85.00472299947998,85.16152182322455,84.75523246708994,85.37137612251917,85.78527950021365,85.13457907462136
A,LeftTurning,Dirt,0.0,7,Claiming,85.77835601459098,85.78975043223082,85.76696159695115,86.1754614663223,86.27291423748484,86.07800869515978
A,LeftTurning,Dirt,0.0,7,RestrictedStakes,84.94289751711165,85.23942112830576,84.77468563285228,85.21290331168666,85.44468553179674,84.99127852333002
A,LeftTurning,Dirt,0.0,8,Allowance,100.25903675011048,100.40018927841041,100.05176228448406,100.44470553086964,101.10481954321011,100.26195798283541
A,LeftTurning,Dirt,0.0,8,Claiming,101.25579241193078,101.25579241193078,101.25579241193078,101.57574265772358,101.57574265772358,101.57574265772358
A,LeftTurning,Dirt,0.0,8,RestrictedStakes,100.45822254330452,100.77463080967225,100.1250780575718,100.65224146708022,100.73806507168578,100.40887240490017
A,LeftTurning,Dirt,0.0,9,Allowance,113.25643116945147,113.63693099796843,112.9737158775165,113.66336970188148,113.90713275812521,113.61839983073102
A,LeftTurning,Dirt,0.0,9,Claiming,,,,,,
A,LeftTurning,Dirt,0.0,9,Maiden,114.17488223339453,114.17488223339453,114.17488223339453,114.66676811886067,114.66676811886067,114.66676811886067
A,LeftTurning,Dirt,0.0,9,RestrictedStakes,113.12222960351951,113.23461563913604,112.83403153496448,113.36690223000916,113.84364320330997,113.32579839138364
A,LeftTurning,Dirt,0.0,10,Allowance,127.2693208710488,127.33457152519239,127.00978738250038,127.86344680468312,128.38381583778363,127.3287946588318
A,LeftTurning,Dirt,0.0,10,Claiming,128.34714067987795,128.34714067987795,128.34714067987795,128.9207323287348,128.9207323287348,128.9207323287348
A,LeftTurning,Dirt,0.0,10,RestrictedStakes,127.06019764846216,127.18452333616142,126.8255403312692,127.63315320052897,127.7480176284694,127.45274857310356
A,LeftTurning,Dirt,0.0,11,Allowance,142.30201687206355,142.59325421513458,141.97245614283568,142.6824063022166,143.0239697723098,142.38968341946045
A,LeftTurning,Dirt,0.0,11,Claiming,143.32151503071566,143.32151503071566,143.32151503071566,143.98733355247987,143.98733355247987,143.98733355247987
A,LeftTurning,Dirt,0.0,11,Maiden,143.16313433751415,143.16313433751415,143.16313433751415,143.51906586919347,143.51906586919347,143.51906586919347
A,LeftTurning,Dirt,0.0,11,RestrictedStakes,142.21000765138666,142.46679801265142,142.0896936957448,142.74610127843138,142.8040209400409,142.69888199342142
A,LeftTurning,Dirt,0.0,12,Allowance,156.4076696456101,156.93646611510619,155.9465825183546,157.0179450071161,157.18766403710094,156.80429900248464
A,LeftTurning,Dirt,0.0,12,Claiming,157.8663029917055,157.8663029917055,157.8663029917055,158.4831847294249,158.4831847294249,158.4831847294249
A,LeftTurning,Dirt,0.0,12,Maiden,157.94388898039168,157.94388898039168,157.94388898039168,159.74759927974287,159.74759927974287,159.74759927974287
A,LeftTurning,Dirt,0.0,12,RestrictedStakes,156.2014401366713,156.32429529569345,156.15079404090565,156.87631956879684,157.360326684882,156.56974206237948
A,LeftTurning,Dirt,0.25,4,Allowance,46.268645277268796,46.46426637171896,46.218396590203696,46.67183382130643,46.795132351423234,46.578741318881
A,LeftTurning,Dirt,0.25,4,Claiming,46.61302315070452,46.61302315070452,46.61302315070452,46.96120964672849,46.99298887371912,46.929430419737855
A,LeftTurning,Dirt,0.25,4,RestrictedStakes,46.38673732573487,46.5022869605904,46.24226345199491,46.62343743371645,46.759093184466224,46.558671070777905
A,LeftTurning,Dirt,0.25,5,Allowance,59.86859907497961,59.93431279181998,59.649369652475954,60.0471160498193,60.16040649566773,59.95527741356941
A,LeftTurning,Dirt,0.25,5,Claiming,60.2900332306323,60.36103187749132,60.290015990541946,60.628329071957886,60.71560604493948,60.46009398381456
A,LeftTurning,Dirt,0.25,5,RestrictedStakes,59.76235917875013,59.96517239346939,59.55750374140218,59.98498979456645,60.06242819476859,59.93623508493083
A,LeftTurning,Dirt,0.25,6,Allowance,70.93336522792633,71.05278969920559,70.90094300868807,71.48538348575289,71.66817851606066,71.16947713306006
A,LeftTurning,Dirt,0.25,6,Claiming,71.75357245438245,71.86978218316743,71.61930090852414,72.08650003136539,72.20480630901436,72.02113621108529
A,LeftTurning,Dirt,0.25,6,RestrictedStakes,70.97605885892861,71.37154351075748,70.8178202755517,71.41864909302397,71.59591817341808,71.17251053612654
A,LeftTurning,Dirt,0.25,7,Allowance,84.74331995579783,84.79052062439484,84.59183240162506,85.11084549923463,85.1961903633821,85.09658576913971
A,LeftTurning,Dirt,0.25,7,Claiming,85.69287162842296,85.82836033530012,85.53459296597018,85.90183490056373,86.08019788076383,85.86964983435689
A,LeftTurning,Dirt,0.25,7,RestrictedStakes,84.8468150694523,84.88115185032892,84.74642160794568,85.14330118411337,85.38204262019227,84.94002999679752
A,LeftTurning,Dirt,0.25,8,Allowance,98.97275000708984,99.24835636165454,98.84328149844154,99.6815912330454,99.92006437525362,99.38523542377648
